title,page,chunk_string
Enterprise-Analytics-Report-508-FINAL.pdf,7,"The working group also captured valuable lessons learned and identified gaps that informed its future thinking about how best to enable decision support on common or urgent issues across multiple federal agencies. Through this effort, the CDO Council recognized an opportunity to analyze how sharing decision-support tools across agencies could offer significant value. While government agencies were increasingly relying on data to drive effective decision-making, they were still frequently developing these solutions in parallel, duplicating efforts and solving the same problems that other agencies had already solved. Furthermore, standing up these decision-support tools can be costly and time-consuming, and crises and priorities such as COVID-19 workforce safety and equity demonstrated the urgent need to ensure leadership across the government has access to critical, trusted information to make decisions on urgent and evolving situations with the best available data. To continue its efforts to solve the challenges associated with sharing decision support across government to provide answers to common questions, the CDO Council developed a proof of concept dashboard and recommendations report to demonstrate how multiple agencies could visualize their HR data in a standardized dashboard and inform best practices for advancing federal data analytics. The CDO Council worked with stakeholder agencies across the government to develop a proof of concept Human Resources (HR) dashboard, more specifically, a Diversity Profile aligned with the Executive Order on Advancing Racial Equity and Support for Underserved Communities Through the Federal Government. The proof of concept demonstrated how agencies government-wide can benefit from efficiencies in generalizable, best-in-class dashboards that can be shared and reused across the federal government to help individual agencies respond more quickly and effectively to emergent issues and ever-changing current events. 8 Figure 1. Diversity Profile Dashboard. Federal HR Dashboarding Report (2021)."
Enterprise-Analytics-Report-508-FINAL.pdf,8,"Diversity Profile Dashboard. Federal HR Dashboarding Report (2021). The CDO Council also recommended the Office of Personnel Management (OPM) offer government-wide dashboards via authenticated login for agencies to access data visualizations populated with their data. The CDO Council report concluded the dashboards would add value by leveraging data and save significantly on the cost and time required to stand-up the technical infrastructure to support individual agency data visualization efforts across government. In April 2023, OPM released its first enterprise data analytics strategy for FY23-26, which outlines its goals for OPM to deliver high-quality human data products that inform and support critical decision-making for OPM, federal agencies, employees, and the public. Given that OPM collects data on the federal civilian workforce across the employee lifecycle, from recruiting to employment to retirement, the agency has a historic opportunity to become a hub for delivering data-driven policy, enhanced analytics, data standards and digital solutions that together are key enablers for strategic human capital management across the federal government. OPM and federal agencies can harness the power of data for advanced analytics and personalized digital-first tools while ensuring the data is accessed securely and with privacy-protecting measures in place. OPM can increase interoperability between agencies by implementing common data standards and templates all federal departments can adopt. And OPM can better leverage existing data to power a personalized customer experience that better serves our customers. In line with the CDO Council’s recommendations, OPM released a suite of authenticated government-wide HR dashboards in September 2023 that include tools providing insights and key metrics related to Diversity, Equity, Inclusion, and Accessibility (DEIA), the Federal Employee Viewpoint Survey, attrition, and time-to-hire."
Enterprise-Analytics-Report-508-FINAL.pdf,8,"And OPM can better leverage existing data to power a personalized customer experience that better serves our customers. In line with the CDO Council’s recommendations, OPM released a suite of authenticated government-wide HR dashboards in September 2023 that include tools providing insights and key metrics related to Diversity, Equity, Inclusion, and Accessibility (DEIA), the Federal Employee Viewpoint Survey, attrition, and time-to-hire. 9 Aligning with the Agency Strategy and Performance Plan The strategic value of enterprise analytics in federal agencies can potentially provide transformative value. Through the consolidation, analysis, and leverage of data from diverse sources, agencies can make better-informed decisions, streamline operations, and enhance public service delivery. Elevating data-informed decision-making to a high-level organizational priority is a key component of building an agency’s evidence-building culture. This commitment emphasizes the strategic value of data in guiding policy and operational decisions. The CDO has a prime opportunity to align data strategy with organizational goals, moving beyond compliance to become a value generator for the agency. This alignment makes the development and implementation of enterprise analytics programs essential. To effectively align an enterprise analytics program with an agency strategy, CDOs should work with other Evidence Act officials to determine which data should be managed at the enterprise level."
Enterprise-Analytics-Report-508-FINAL.pdf,9,"This alignment makes the development and implementation of enterprise analytics programs essential. To effectively align an enterprise analytics program with an agency strategy, CDOs should work with other Evidence Act officials to determine which data should be managed at the enterprise level. CDOs must facilitate choices about which data to centrally manage and curate and which to keep closely aligned with agency components and programs. Focusing on the data that are most important to the questions posed in the agency’s strategic planning documents, such as the strategic plan, performance plan, learning agenda, evaluation plan, and customer experience plans, is a necessary step. CDOs are already taking the lead. Table 1. To what extent does your role as CDO involve oversight of enterprise analytics for your agency? Agency Type Primary Accountable Official Manager Responsibility Partner No Practical Responsibility CFO Act Agency 2 5 4 2 Non-CFO Act Agency 7 4 9 3 10 Figure 2. 2023 Federal Chief Data Officers Council Annual Survey response."
Enterprise-Analytics-Report-508-FINAL.pdf,10,"10 Figure 2. 2023 Federal Chief Data Officers Council Annual Survey response. Federal Chief Data Officer oversight of agency Enterprise Analytics. As seen above, nearly 8 in 9 CDOs who responded to the Federal CDO Council Survey have some responsibility for overseeing their agency enterprise analytics programs. Investing in Workforce Capabilities That Enable Usage of Data as a Strategic Asset Encouraging a collaborative, cross-functional approach to data management ensures diverse perspectives as agencies implement their enterprise analytics programs. By serving various stakeholders, enterprise analytics programs can benefit from unique insights and enhance their effectiveness. In addition, the synergy between the CDO and CIO is crucial for the success of any enterprise analytics program. Agencies should aim to strengthen this relationship, irrespective of their current reporting structures. The cultivation of a data-driven culture within an agency is crucial. The success of any major change, including a shift toward a more data-driven operation, relies heavily on employee buy- in."
Enterprise-Analytics-Report-508-FINAL.pdf,10,"The cultivation of a data-driven culture within an agency is crucial. The success of any major change, including a shift toward a more data-driven operation, relies heavily on employee buy- in. This can be achieved by demonstrating the tangible benefits of such a shift, providing adequate training, and establishing a clear vision of how using data can streamline processes and improve decision-making. 0 2 4 6 8 10 Primary Accountable Official Manager Responsibility Partner No Practical Responsibility CDO Oversight of Agency Enterprise Analytics Non-CFO Act Agency CFO Act Agency 11 Building organizational ownership of data-driven tools and methodologies can enhance the implementation and success of enterprise analytics programs. Both USDA and the State Department emphasized the importance of nurturing a data-driven culture. This cultural shift was nurtured through training initiatives, demonstrating the significance of not merely having the right tools but also ensuring employees across all levels are capable of effectively using these tools. Training helped individuals understand the benefits of using data in their roles and promoted the adoption of data-driven practices. The success of these initiatives also relied on developing technical expertise within each mission area or component. For instance, the State Department hired data scientists and provided data literacy training to their employees."
Enterprise-Analytics-Report-508-FINAL.pdf,11,"The success of these initiatives also relied on developing technical expertise within each mission area or component. For instance, the State Department hired data scientists and provided data literacy training to their employees. This helped the department develop the capabilities needed to effectively utilize their data and analytical tools. As part of the Federal Data Strategy, resources were developed to guide agencies in building data skills. Indeed, data skills assessments were one of the first actions in the Federal Data Strategy Action Plans. Since the issuance of the strategy, the CDO Council has developed additional resources for data skills programs. CDOs can rely on the following resources to help build their workforce development programs: the Improving Agency Data Skills Playbook, the Data Skills Training Program Implementation Toolkit, and the Data Skills Training Program Case Studies. 12 Leveraging Technologies to Analyze and Visualize Data The relationship between the CDO and CIO is also critical to the success of enterprise analytics programs. The collaboration between these roles varies across agencies, with different models in place such as reporting and non-reporting relationships."
Enterprise-Analytics-Report-508-FINAL.pdf,12,"The relationship between the CDO and CIO is also critical to the success of enterprise analytics programs. The collaboration between these roles varies across agencies, with different models in place such as reporting and non-reporting relationships. Regardless of the specific structure, the interplay between the CDO and the CIO is crucial for effectively linking enterprise analytics programs and IT strategies, thus ensuring the necessary technology and infrastructure are in place to support the agency's enterprise analytics initiatives. Table 2. Has your agency implemented an enterprise analytics platform for integrating and analyzing data across various components and functional silos? Agency Type Mature IMP* Pilot IMP* Experimental Development Planned IMP* No Current Plans CFO Act Agency* 2 4 1 3 2 Non-CFO Act Agency 4 6 1 6 6 *IMP - Implementation Figure 3. 2023 Federal Chief Data Officers Council Annual Survey response. Federal agency implementation of data analytics across various components and functional silos. 0 1 2 3 4 5 6 7 Mature Implementation Pilot Implementation Experimental Development Planned Implementation No Current Plans Has your agency implemented an enterprise analytics platform for integrating and analyzing data across various components and funcitonal silos? Non-CFO Act Agency CFO Act Agency*"
Enterprise-Analytics-Report-508-FINAL.pdf,12,"Non-CFO Act Agency CFO Act Agency* 13 Effective collaboration, both within and between departments, is crucial. The USDA's EDAPT system and the State Department's Data. State both facilitated collaboration by integrating data from various sources into a single platform, allowing for easier sharing and analysis. The partnership models between the CDO and CIO also played an integral role in the successful implementation and management of these systems. Given the lack of maturity in platform and data integration but the relatively higher maturity in enterprise analytics programs, CDOs should leverage the interest in analytics to accelerate the maturity of their overall data infrastructure to make the most of their analytics capabilities. Facilitate rapid prototyping and proofs of concept on advanced analytics tools and capabilities with innovative programs and customer agencies, while enabling the agency to learn and scale as appropriate. Both USDA and the Department of State recognized the need to develop advanced technical capacities. This was evident in the creation of sophisticated, enterprise-wide data platforms like EDAPT and Data. State, which enabled the consolidation, analysis, and visualization of data from multiple sources."
Enterprise-Analytics-Report-508-FINAL.pdf,13,"This was evident in the creation of sophisticated, enterprise-wide data platforms like EDAPT and Data. State, which enabled the consolidation, analysis, and visualization of data from multiple sources. Agencies should recognize the value generated by effective data analytics and allocate resources accordingly. CDOs who have demonstrated value in analytics often receive more organizational support, as indicated by the survey. Given there are many common needs of data management and analytics across agencies, infrastructure, tools, and data procurement decisions should aim for the most efficiency possible. Centralizing and Curating Data and Data Products for Access and use Across the Entire Agency CDOs are responsible for establishing robust agency data governance structures that ensure alignment of data management practices with agency goals. These structures promote consistency and standardization in data usage, maximizing the strategic utility of data. The creation of clear data governance structures, such as the establishment of a CDO and the Enterprise Data Council at the Department of State, played a key role in steering the enterprise analytics initiatives. These structures provided leadership, drove strategy, and ensured accountability for the data transformation process. Enterprise analytics programs should enable the agency to deliver a seamless customer experience of data and data products like data visualizations to key customers across the agency."
Enterprise-Analytics-Report-508-FINAL.pdf,13,"These structures provided leadership, drove strategy, and ensured accountability for the data transformation process. Enterprise analytics programs should enable the agency to deliver a seamless customer experience of data and data products like data visualizations to key customers across the agency. Bringing the voice of the customer into agency data governance can help agencies ensure their data governance and enterprise analytics initiatives are focused on the right priorities. Enterprise analytics programs rely heavily on technology that enables cataloging, integration, and sharing of agency data to enhance decision-making, while also preserving privacy and security. Effective management and use of such technologies require close alignment with agency data governance. Structuring an enterprise analytics program with accountability to a data governance board may vary based on the data focus (mission or mission support) as well as the outputs (dashboards and other data products). The 2023 CDO Council survey demonstrates that respondents are still working on maturing their data integration and data product goals. The survey results also show 14 agencies are working on both mission and mission support data integration, though mission data integration is relatively more mature at small agencies. Table 3."
Enterprise-Analytics-Report-508-FINAL.pdf,14,"14 agencies are working on both mission and mission support data integration, though mission data integration is relatively more mature at small agencies. Table 3. In your agency, how mature is the integration of mission-support data (e.g., HR, finance, IT) at the enterprise level? Agency Type Mature Integration Pilot Integration Experimental Integration Planned Integration No Current Plans CFO Act Agency 1 5 3 3 1 Non-CFO Act Agency 3 6 4 4 6 Figure 4. 2023 Federal Chief Data Officers Council Annual Survey response. Maturity of mission-support data at the enterprise level within federal agencies. 0 1 2 3 4 5 6 7 Mature Integration Pilot Integration Experimental Integration Planned Integration No Current Plans In your agency, how mature is the integration of mission- support data (e.g., HR, finance, IT) at the enterprise level? Non-CFO Act Agency CFO Act Agency 15 Table 4. In your agency, how mature is the integration of mission-specific data across divisions or component agencies at the enterprise level?"
Enterprise-Analytics-Report-508-FINAL.pdf,15,"15 Table 4. In your agency, how mature is the integration of mission-specific data across divisions or component agencies at the enterprise level? Agency Type Mature Integration Pilot Integration Experimental Integration Planned Integration No Current Plans CFO Act Agency* 1 6 1 2 3 Non-CFO Act Agency* 7 7 2 4 3 Figure 5. 2023 Federal Chief Data Officers Council Annual Survey response. Maturity of mission-support data across divisions or component agencies at the enterprise level. Table 5. How mature is your agency's implementation of enterprise-wide analytics and data dashboards? Agency Type Mature Integration Pilot Integration Experimental Integration Planning Integration No Current Plans CFO Act Agency 4 2 3 3 1 Non-CFO Act Agency* 4 7 2 4 4 0 1 2 3 4 5 6 7 8 Mature Integration Pilot Integration Experimental Integration Planned Integration No Current Plans In your agency, how mature is the integration of mission- specific data across divisions or component agencies at the enterprise level? Non-CFO Act Agency* CFO Act Agency*"
Enterprise-Analytics-Report-508-FINAL.pdf,15,"Planned Integration No Current Plans In your agency, how mature is the integration of mission- specific data across divisions or component agencies at the enterprise level? Non-CFO Act Agency* CFO Act Agency* 16 Figure 6. 2023 Federal Chief Data Officers Council Annual Survey response. Maturity of Federal agency implementation of enterprise-wide analytics and data dashboards. *= Missing Response 0 1 2 3 4 5 6 7 8 Mature Integration Pilot Integration Experimental Integration Planning Integration No Current Plans How mature is your agency's implementation of enterprise- wide analytics and data dashboards? Non-CFO Act Agency* CFO Act Agency 17 The Role of the Chief Data Officer in Implementing Enterprise Analytics The role of the federal CDO is pivotal and transformational, particularly in the management and strategic use of data."
Enterprise-Analytics-Report-508-FINAL.pdf,16,"15 Table 4. In your agency, how mature is the integration of mission-specific data across divisions or component agencies at the enterprise level? Agency Type Mature Integration Pilot Integration Experimental Integration Planned Integration No Current Plans CFO Act Agency* 1 6 1 2 3 Non-CFO Act Agency* 7 7 2 4 3 Figure 5. 2023 Federal Chief Data Officers Council Annual Survey response. Maturity of mission-support data across divisions or component agencies at the enterprise level. Table 5. How mature is your agency's implementation of enterprise-wide analytics and data dashboards? Agency Type Mature Integration Pilot Integration Experimental Integration Planning Integration No Current Plans CFO Act Agency 4 2 3 3 1 Non-CFO Act Agency* 4 7 2 4 4 0 1 2 3 4 5 6 7 8 Mature Integration Pilot Integration Experimental Integration Planned Integration No Current Plans In your agency, how mature is the integration of mission- specific data across divisions or component agencies at the enterprise level? Non-CFO Act Agency* CFO Act Agency*"
Enterprise-Analytics-Report-508-FINAL.pdf,16,"Planned Integration No Current Plans In your agency, how mature is the integration of mission- specific data across divisions or component agencies at the enterprise level? Non-CFO Act Agency* CFO Act Agency* 16 Figure 6. 2023 Federal Chief Data Officers Council Annual Survey response. Maturity of Federal agency implementation of enterprise-wide analytics and data dashboards. *= Missing Response 0 1 2 3 4 5 6 7 8 Mature Integration Pilot Integration Experimental Integration Planning Integration No Current Plans How mature is your agency's implementation of enterprise- wide analytics and data dashboards? Non-CFO Act Agency* CFO Act Agency 17 The Role of the Chief Data Officer in Implementing Enterprise Analytics The role of the federal CDO is pivotal and transformational, particularly in the management and strategic use of data."
Enterprise-Analytics-Report-508-FINAL.pdf,17,"17 The Role of the Chief Data Officer in Implementing Enterprise Analytics The role of the federal CDO is pivotal and transformational, particularly in the management and strategic use of data. The position has the potential to significantly enhance data collection, organization, and analysis, thereby providing immense value to both federal agencies and society at large. As agents of change, CDOs must articulate an inspiring vision of data's transformative capabilities for stakeholders. Based on the case studies of USDA and the Department of State, the success factors in the implementation of enterprise analytics across CFO Act agencies are multifold. They illustrate not only the significant role of robust analytics platforms but also the critical importance of fostering a data-driven culture, the value of collaboration, and the necessity of robust governance and management structures. Current Landscape Federal agencies are at various stages in their data journey, as indicated by the 2022 and 2023 CDO Council annual survey. Some CDOs have robust data science teams and are making strides in analytics and artificial intelligence. The data suggest that Federal CDOs who deliver valuable enterprise analytics programs are able to secure the necessary resources to fund their activities. Three years later, some CDOs have already built large enterprise teams and are significantly advancing evidence-building capabilities at their agencies."
Enterprise-Analytics-Report-508-FINAL.pdf,17,"The data suggest that Federal CDOs who deliver valuable enterprise analytics programs are able to secure the necessary resources to fund their activities. Three years later, some CDOs have already built large enterprise teams and are significantly advancing evidence-building capabilities at their agencies. Models for increased resources have included increases in appropriations for CDO organizations and enterprise-shared service models. Other CDOs are working as a team of one or are wearing multiple hats. The 2023 survey also revealed an interesting paradox: despite a general lack of mature platforms and data integration, agencies are reporting higher levels of mature analytics and dashboards. Key Survey Findings ● Oversight of Enterprise Analytics: Most CDOs in CFO Act agencies share or manage the responsibility for enterprise analytics. However, in non-CFO Act agencies, the CDO is more often the primary accountable official. ● Platform Maturity: Both types of agencies are lagging in platform maturity compared to their reported data integration and analytics and dashboard maturity. ● Mission-Support Data Integration: CFO Act agencies show a focus on pilot and experimental stages of mission-support data integration, with no significant maturity reported. ● Mission-Specific Data Integration: Non-CFO Act agencies reported higher maturity levels in mission-specific data integration compared to mission-support data."
Enterprise-Analytics-Report-508-FINAL.pdf,17,"● Mission-Support Data Integration: CFO Act agencies show a focus on pilot and experimental stages of mission-support data integration, with no significant maturity reported. ● Mission-Specific Data Integration: Non-CFO Act agencies reported higher maturity levels in mission-specific data integration compared to mission-support data. 18 Opportunities for Enterprise Analytics The Foundations for Evidence-Based Policymaking Act (Evidence Act) has been a game- changer in formalizing the CDO's role, which now includes developing data strategies and promoting data sharing. Therefore, the CDO is uniquely positioned to play an integral role in the adoption and implementation of enterprise analytics, which aligns perfectly with their mandated responsibilities. Enterprise analytics can serve as the bridge between data collection and actionable insights, thereby supporting the agency's mission and objectives. The role also involves fostering a data- driven culture and closely collaborating with the CIO to integrate data management and IT strategies effectively. 19 Appendix: Agency Case Studies Department of State Summary Ensuring that trusted data is available and accessible in a timely manner provides the Department's global workforce of over 75,000 people—spread across 40 Bureaus and throughout 200 country missions—with the critical knowledge and tools needed to carry out its diplomatic, foreign assistance, and management functions. Furthermore, data offers cross-functional insights that help the U.S. government make evidence-based decisions, increasing transparency and public understanding of these decisions. To that end, and in collaboration with the Performance Improvement Officer, the Department of State established Data-Informed Diplomacy as an FY 2020–2021 Agency Priority Goal (APG) and, in conjunction, designated the Department’s CDO to oversee its implementation. The Challenge The Department lacked the ability to access data readily to solve enterprise-level challenges in a timely manner."
Enterprise-Analytics-Report-508-FINAL.pdf,18,"17 The Role of the Chief Data Officer in Implementing Enterprise Analytics The role of the federal CDO is pivotal and transformational, particularly in the management and strategic use of data. The position has the potential to significantly enhance data collection, organization, and analysis, thereby providing immense value to both federal agencies and society at large. As agents of change, CDOs must articulate an inspiring vision of data's transformative capabilities for stakeholders. Based on the case studies of USDA and the Department of State, the success factors in the implementation of enterprise analytics across CFO Act agencies are multifold. They illustrate not only the significant role of robust analytics platforms but also the critical importance of fostering a data-driven culture, the value of collaboration, and the necessity of robust governance and management structures. Current Landscape Federal agencies are at various stages in their data journey, as indicated by the 2022 and 2023 CDO Council annual survey. Some CDOs have robust data science teams and are making strides in analytics and artificial intelligence. The data suggest that Federal CDOs who deliver valuable enterprise analytics programs are able to secure the necessary resources to fund their activities. Three years later, some CDOs have already built large enterprise teams and are significantly advancing evidence-building capabilities at their agencies."
